Year,Series,Reference area,Units,Value
2015,"Number of local governments that adopt and implement local DRR strategies in line with national strategies [1.5.4, 11.b.2, 13.1.3]",,Number,800.0
2016,"Number of local governments that adopt and implement local DRR strategies in line with national strategies [1.5.4, 11.b.2, 13.1.3]",,Number,825.0
2017,"Number of local governments that adopt and implement local DRR strategies in line with national strategies [1.5.4, 11.b.2, 13.1.3]",,Number,12.0
2018,"Number of local governments that adopt and implement local DRR strategies in line with national strategies [1.5.4, 11.b.2, 13.1.3]",,Number,56.0
2019,"Number of local governments that adopt and implement local DRR strategies in line with national strategies [1.5.4, 11.b.2, 13.1.3]",,Number,127.0
2015,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",,Percent,23.71073
2016,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",,Percent,24.45169
2017,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",,Percent,1.59363
2018,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",,Percent,7.43692
2019,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",,Percent,16.86587
2015,"Number of local governments [1.5.4, 11.b.2, 13.1.3]",,Number,3374.0
2016,"Number of local governments [1.5.4, 11.b.2, 13.1.3]",,Number,3374.0
2017,"Number of local governments [1.5.4, 11.b.2, 13.1.3]",,Number,753.0
2018,"Number of local governments [1.5.4, 11.b.2, 13.1.3]",,Number,753.0
2019,"Number of local governments [1.5.4, 11.b.2, 13.1.3]",,Number,753.0
