Year,Series,Reference area,Units,Value
2001,Proportion of small-scale industries in total industry value added [9.3.1],,Percent,5.44
2006,Proportion of small-scale industries in total industry value added [9.3.1],,Percent,7.41
2011,Proportion of small-scale industries in total industry value added [9.3.1],,Percent,9.51
