Year,Series,Reference area,Units,Value
1995,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,1781
2000,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,2532
2005,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,2532
2010,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,2776
2012,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,4155
2014,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,4667
2016,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,5383
2017,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,5753
2018,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,6073
2019,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,6470
2020,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1],,Number,6470
