Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2000,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",59.9
2001,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",57.0
2002,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",54.3
2003,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",51.7
2004,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",49.3
2005,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",47.0
2006,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",44.8
2007,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",42.7
2008,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",40.8
2009,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",38.9
2010,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",37.1
2011,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",35.5
2012,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",33.8
2013,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",32.3
2014,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",30.9
2015,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",29.7
2016,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",28.5
2017,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",27.4
2018,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",26.5
2019,Infant mortality rate,,None,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",25.6
2000,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",55.8
