Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2005,Direct agriculture loss attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,134656.0
2006,Direct agriculture loss attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,23534154.0
2007,Direct agriculture loss attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,6991027.0
2008,Direct agriculture loss attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,39864900.0
2009,Direct agriculture loss attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,22561069.0
2010,Direct agriculture loss attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,8433786.0
2015,Direct agriculture loss attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,354391634.0
2016,Direct agriculture loss attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,1234143198.0
2017,Direct agriculture loss attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,843018942.0
2018,Direct agriculture loss attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,11535686.0
2005,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,14.0
2006,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,9.0
2007,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,42.0
2008,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,86.0
2009,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,70.0
2010,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,65.0
2013,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2014,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2015,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,3.0
2017,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,3.0
2018,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,4.0
2019,Number of disruptions to basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,2.0
2005,Number of damaged critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,20.0
2007,Number of damaged critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,32.0
2008,Number of damaged critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,76.0
2009,Number of damaged critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,108.0
2010,Number of damaged critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,39.0
2015,Number of damaged critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,51723.0
