Year,Series,Reference area,Units,Value
2000,EN_EWT_GENPCAP,Nepal,Kilograms,0.138047
2001,EN_EWT_GENPCAP,Nepal,Kilograms,0.150609
2002,EN_EWT_GENPCAP,Nepal,Kilograms,0.166276
2003,EN_EWT_GENPCAP,Nepal,Kilograms,0.185758
2004,EN_EWT_GENPCAP,Nepal,Kilograms,0.206854
2005,EN_EWT_GENPCAP,Nepal,Kilograms,0.230463
2006,EN_EWT_GENPCAP,Nepal,Kilograms,0.258367
2007,EN_EWT_GENPCAP,Nepal,Kilograms,0.292331
2008,EN_EWT_GENPCAP,Nepal,Kilograms,0.332995
2009,EN_EWT_GENPCAP,Nepal,Kilograms,0.378669
2010,EN_EWT_GENPCAP,Nepal,Kilograms,0.427485
2011,EN_EWT_GENPCAP,Nepal,Kilograms,0.478385
2012,EN_EWT_GENPCAP,Nepal,Kilograms,0.532175
2013,EN_EWT_GENPCAP,Nepal,Kilograms,0.585838
2014,EN_EWT_GENPCAP,Nepal,Kilograms,0.642588
2015,EN_EWT_GENPCAP,Nepal,Kilograms,0.700558
2016,EN_EWT_GENPCAP,Nepal,Kilograms,0.760244
2017,EN_EWT_GENPCAP,Nepal,Kilograms,0.820412
2018,EN_EWT_GENPCAP,Nepal,Kilograms,0.875515
2019,EN_EWT_GENPCAP,Nepal,Kilograms,0.929526
2000,EN_EWT_GENV,Nepal,Metric Tons,3277.382674
2001,EN_EWT_GENV,Nepal,Metric Tons,3639.002609
2002,EN_EWT_GENV,Nepal,Metric Tons,4084.732218
2003,EN_EWT_GENV,Nepal,Metric Tons,4634.857465
2004,EN_EWT_GENV,Nepal,Metric Tons,5235.262536
2005,EN_EWT_GENV,Nepal,Metric Tons,5909.059492
2006,EN_EWT_GENV,Nepal,Metric Tons,6702.298449
2007,EN_EWT_GENV,Nepal,Metric Tons,7663.460792
2008,EN_EWT_GENV,Nepal,Metric Tons,8816.387698
2009,EN_EWT_GENV,Nepal,Metric Tons,10126.00043
2010,EN_EWT_GENV,Nepal,Metric Tons,11551.922135
2011,EN_EWT_GENV,Nepal,Metric Tons,13072.836832
2012,EN_EWT_GENV,Nepal,Metric Tons,14714.638793
2013,EN_EWT_GENV,Nepal,Metric Tons,16394.687492
2014,EN_EWT_GENV,Nepal,Metric Tons,18200.026149
2015,EN_EWT_GENV,Nepal,Metric Tons,20075.186844
2016,EN_EWT_GENV,Nepal,Metric Tons,22034.155925
2017,EN_EWT_GENV,Nepal,Metric Tons,24042.187872
2018,EN_EWT_GENV,Nepal,Metric Tons,25942.379838
2019,EN_EWT_GENV,Nepal,Metric Tons,27848.590629
