Year,Series,Reference area,Units,Value
1993,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,1.4979366
1994,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,1.2323896
1995,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,1.2911002
1996,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,0.9766525
1997,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,1.0055124
1998,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,1.3900609
1999,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,1.6580991
2000,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,2.0293606
2001,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,2.4468754
2002,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,11.2130196
2003,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,12.1803239
2004,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,11.30899
2005,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,14.905102
2006,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,16.0689647
2007,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,16.7918135
2008,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,21.738104
2009,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,23.2076254
2010,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,21.6469853
2011,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,22.2955954
2012,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,25.4223943
2013,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,28.9743835
2014,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,29.4388808
2015,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,31.4323744
2016,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,31.2086414
2017,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,27.5137943
2018,Volume of remittances (in United States dollars) as a proportion of total GDP,Nepal,Percent,28.5596673
