Year,Series,Reference area,Units,Value
2000,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,118.34591
2001,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,175.70092
2002,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,90.23017
2003,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,134.22733
2004,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,150.26218
2005,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,114.02942
2006,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,88.24724
2007,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,91.22672
2008,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,121.85975
2009,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,125.32737
2010,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,184.96435
2011,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,181.25524
2012,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,180.00419
2013,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,227.98377
2014,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,207.30714
2015,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,300.95172
2016,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,182.6634
2017,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,338.54657
2018,"Total official flows for infrastructure, by recipient countries",Nepal,Constant USD,334.48549
