Year,Series,Reference area,Units,Value
2000,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,19.7058
2001,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,157.71992
2002,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,49.9457
2003,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,121.55637
2004,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,81.8969
2005,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,75.94072
2006,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,72.36831
2007,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,71.16806
2008,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,90.83215
2009,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,123.98132
2010,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,139.91102
2011,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,193.17644
2012,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,154.21036
2013,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,206.34667
2014,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,150.48798
2015,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,144.27884
2016,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,178.98615
2017,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,247.14331
2018,Total official development assistance (gross disbursement) for technical cooperation,,Constant USD,283.05125
