Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2008,Research and development expenditure as a proportion of GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.05439
2009,Research and development expenditure as a proportion of GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.25924
2010,Research and development expenditure as a proportion of GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.3022
