Year,Series,Reference area,Units,Value
2010,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,26834231
2011,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,26975315
2012,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,20852506
2013,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,23979335
2014,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,21348508
2015,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,18850311
2016,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,17552881
2017,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,16062081
2018,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,14520580
2019,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,14118850
