Year,Series,Reference area,Composite breakdown,Units,Value
2006,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,0.0
2007,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,0.04
2008,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,0.05
2009,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,0.06
2010,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,0.22
2011,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,0.35
2012,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,0.85
2013,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,1.16
2014,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,0.93
2015,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,1.12
2016,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,0.82
2017,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,1.82
2018,Fixed broadband subscriptions per 100 inhabitants,,,Per 100 population,2.82
2017,Fixed broadband subscriptions per 100 inhabitants,,Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,0.12
2006,Fixed broadband subscriptions (number),,,Number,963.0
2007,Fixed broadband subscriptions (number),,,Number,10957.0
2008,Fixed broadband subscriptions (number),,,Number,12000.0
2009,Fixed broadband subscriptions (number),,,Number,17078.0
2010,Fixed broadband subscriptions (number),,,Number,60177.0
2011,Fixed broadband subscriptions (number),,,Number,94656.0
2012,Fixed broadband subscriptions (number),,,Number,230618.0
2013,Fixed broadband subscriptions (number),,,Number,311457.0
2014,Fixed broadband subscriptions (number),,,Number,250602.0
2015,Fixed broadband subscriptions (number),,,Number,302705.0
2016,Fixed broadband subscriptions (number),,,Number,224184.0
2017,Fixed broadband subscriptions (number),,,Number,503206.0
2018,Fixed broadband subscriptions (number),,,Number,791961.0
2017,Fixed broadband subscriptions (number),,Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,33423.0
