Year,SDG Series,Unit of measure,Value
2000,Carbon dioxide emissions from fuel combustion,Metric Tons,3.1
2001,Carbon dioxide emissions from fuel combustion,Metric Tons,3.35
2002,Carbon dioxide emissions from fuel combustion,Metric Tons,2.671
2003,Carbon dioxide emissions from fuel combustion,Metric Tons,2.905
2004,Carbon dioxide emissions from fuel combustion,Metric Tons,2.697
2005,Carbon dioxide emissions from fuel combustion,Metric Tons,3.074
2006,Carbon dioxide emissions from fuel combustion,Metric Tons,2.501
2007,Carbon dioxide emissions from fuel combustion,Metric Tons,2.578
2008,Carbon dioxide emissions from fuel combustion,Metric Tons,2.882
2009,Carbon dioxide emissions from fuel combustion,Metric Tons,3.427
2010,Carbon dioxide emissions from fuel combustion,Metric Tons,4.122
2011,Carbon dioxide emissions from fuel combustion,Metric Tons,4.405
2012,Carbon dioxide emissions from fuel combustion,Metric Tons,4.972
2013,Carbon dioxide emissions from fuel combustion,Metric Tons,4.945
2014,Carbon dioxide emissions from fuel combustion,Metric Tons,5.949
2015,Carbon dioxide emissions from fuel combustion,Metric Tons,5.694
2016,Carbon dioxide emissions from fuel combustion,Metric Tons,8.504
2017,Carbon dioxide emissions from fuel combustion,Metric Tons,10.114
2000,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.08656
2001,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.08926
2002,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.07107
2003,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.07436
2004,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.06595
2005,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.07265
2006,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.05718
2007,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.057
2008,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.06006
2009,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.06832
2010,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.07839
2011,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.081
2012,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.08725
2013,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.08334
2014,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.0946
2015,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.08763
2016,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.13011
2017,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.14341
2000,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.25
2001,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.37
2002,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.73
2003,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.88
2004,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.74
2005,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.11
2006,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.66
2007,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.84
2008,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.79
2009,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.8
2010,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.26
2011,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.43
2012,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.65
2013,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.24
2014,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.68
2015,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.92
2016,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,2.6
2017,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,2.72
