Year,Series,Reference area,Units,Value
2000,Above-ground biomass in forest per hectare (tonnes per hectare),Nepal,Tonnes per hectare,172.23
2010,Above-ground biomass in forest per hectare (tonnes per hectare),Nepal,Tonnes per hectare,172.23
2015,Above-ground biomass in forest per hectare (tonnes per hectare),Nepal,Tonnes per hectare,172.23
2016,Above-ground biomass in forest per hectare (tonnes per hectare),Nepal,Tonnes per hectare,172.23
2017,Above-ground biomass in forest per hectare (tonnes per hectare),Nepal,Tonnes per hectare,172.23
2018,Above-ground biomass in forest per hectare (tonnes per hectare),Nepal,Tonnes per hectare,172.23
2019,Above-ground biomass in forest per hectare (tonnes per hectare),Nepal,Tonnes per hectare,172.23
2020,Above-ground biomass in forest per hectare (tonnes per hectare),Nepal,Tonnes per hectare,172.23
2000,Forest area certified under an independently verified certification scheme (hectares),Nepal,Hectares,0.0
2005,Forest area certified under an independently verified certification scheme (hectares),Nepal,Hectares,14.145
2010,Forest area certified under an independently verified certification scheme (hectares),Nepal,Hectares,14.145
2015,Forest area certified under an independently verified certification scheme (hectares),Nepal,Hectares,0.0
2016,Forest area certified under an independently verified certification scheme (hectares),Nepal,Hectares,0.0
2017,Forest area certified under an independently verified certification scheme (hectares),Nepal,Hectares,0.0
2018,Forest area certified under an independently verified certification scheme (hectares),Nepal,Hectares,0.0
2019,Forest area certified under an independently verified certification scheme (hectares),Nepal,Hectares,12.282
2010,Forest area net change rate (%),Nepal,Percent,0.31
2015,Forest area net change rate (%),Nepal,Percent,0.0
2020,Forest area net change rate (%),Nepal,Percent,0.0
2000,Proportion of forest area with a long-term management plan,Nepal,Percent,13.69
2010,Proportion of forest area with a long-term management plan,Nepal,Percent,20.12
2015,Proportion of forest area with a long-term management plan,Nepal,Percent,20.3
2016,Proportion of forest area with a long-term management plan,Nepal,Percent,20.3
2017,Proportion of forest area with a long-term management plan,Nepal,Percent,21.99
2018,Proportion of forest area with a long-term management plan,Nepal,Percent,21.99
2019,Proportion of forest area with a long-term management plan,Nepal,Percent,24.3
2020,Proportion of forest area with a long-term management plan,Nepal,Percent,24.23
2000,Proportion of forest area within legally established protected areas,Nepal,Percent,44.99
2010,Proportion of forest area within legally established protected areas,Nepal,Percent,56.46
2015,Proportion of forest area within legally established protected areas,Nepal,Percent,56.46
2016,Proportion of forest area within legally established protected areas,Nepal,Percent,56.46
2017,Proportion of forest area within legally established protected areas,Nepal,Percent,56.46
2018,Proportion of forest area within legally established protected areas,Nepal,Percent,57.73
2019,Proportion of forest area within legally established protected areas,Nepal,Percent,57.73
2020,Proportion of forest area within legally established protected areas,Nepal,Percent,57.73
