Year,Series,Reference area,Degree of urbanisation,Units,Value
2011,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,,Micrograms per cubic meter,63.66553
2012,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,,Micrograms per cubic meter,69.51924
2013,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,,Micrograms per cubic meter,73.94074
2014,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,,Micrograms per cubic meter,80.82924
2015,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,,Micrograms per cubic meter,76.65568
2016,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,,Micrograms per cubic meter,81.57073
2011,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Rural,Micrograms per cubic meter,61.72673
2012,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Rural,Micrograms per cubic meter,67.4087
2013,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Rural,Micrograms per cubic meter,71.20913
2014,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Rural,Micrograms per cubic meter,77.31524
2015,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Rural,Micrograms per cubic meter,73.70722
2016,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Rural,Micrograms per cubic meter,77.72058
2011,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Urban,Micrograms per cubic meter,68.26213
2012,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Urban,Micrograms per cubic meter,74.53264
2013,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Urban,Micrograms per cubic meter,79.84819
2014,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Urban,Micrograms per cubic meter,87.72419
2015,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Urban,Micrograms per cubic meter,82.01111
2016,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",,Urban,Micrograms per cubic meter,87.97278
