Year,Series,Reference area,Units,Value
2000,Internet users per 100 inhabitants,Nepal,Per 100 population,0.205
2001,Internet users per 100 inhabitants,Nepal,Per 100 population,0.24
2002,Internet users per 100 inhabitants,Nepal,Per 100 population,0.313
2003,Internet users per 100 inhabitants,Nepal,Per 100 population,0.383
2004,Internet users per 100 inhabitants,Nepal,Per 100 population,0.45
2005,Internet users per 100 inhabitants,Nepal,Per 100 population,0.827
2006,Internet users per 100 inhabitants,Nepal,Per 100 population,1.141
2007,Internet users per 100 inhabitants,Nepal,Per 100 population,1.41
2008,Internet users per 100 inhabitants,Nepal,Per 100 population,1.73
2009,Internet users per 100 inhabitants,Nepal,Per 100 population,1.97
2010,Internet users per 100 inhabitants,Nepal,Per 100 population,7.93
2011,Internet users per 100 inhabitants,Nepal,Per 100 population,9.0
2012,Internet users per 100 inhabitants,Nepal,Per 100 population,11.149
2013,Internet users per 100 inhabitants,Nepal,Per 100 population,13.3
2014,Internet users per 100 inhabitants,Nepal,Per 100 population,15.44
2015,Internet users per 100 inhabitants,Nepal,Per 100 population,17.582
2016,Internet users per 100 inhabitants,Nepal,Per 100 population,19.689
2017,Internet users per 100 inhabitants,Nepal,Per 100 population,34.0
