Year,Series,Reference area,Units,Value
1990,Foreign direct investment (FDI) inflows [17.3.1],,USD,5.94
1991,Foreign direct investment (FDI) inflows [17.3.1],,USD,2.22
1996,Foreign direct investment (FDI) inflows [17.3.1],,USD,19.16
1997,Foreign direct investment (FDI) inflows [17.3.1],,USD,23.06
1998,Foreign direct investment (FDI) inflows [17.3.1],,USD,12.0247
1999,Foreign direct investment (FDI) inflows [17.3.1],,USD,4.35107
2000,Foreign direct investment (FDI) inflows [17.3.1],,USD,-0.48483
2001,Foreign direct investment (FDI) inflows [17.3.1],,USD,20.85
2002,Foreign direct investment (FDI) inflows [17.3.1],,USD,-5.95254
2003,Foreign direct investment (FDI) inflows [17.3.1],,USD,1.78615
2004,Foreign direct investment (FDI) inflows [17.3.1],,USD,-0.41735
2005,Foreign direct investment (FDI) inflows [17.3.1],,USD,2.45178
2006,Foreign direct investment (FDI) inflows [17.3.1],,USD,-6.64798
2007,Foreign direct investment (FDI) inflows [17.3.1],,USD,5.89024
2008,Foreign direct investment (FDI) inflows [17.3.1],,USD,1.01058
2009,Foreign direct investment (FDI) inflows [17.3.1],,USD,38.54543
2010,Foreign direct investment (FDI) inflows [17.3.1],,USD,86.62561
2011,Foreign direct investment (FDI) inflows [17.3.1],,USD,95.48636
2012,Foreign direct investment (FDI) inflows [17.3.1],,USD,91.97774
2013,Foreign direct investment (FDI) inflows [17.3.1],,USD,71.25147
2014,Foreign direct investment (FDI) inflows [17.3.1],,USD,30.18815
2015,Foreign direct investment (FDI) inflows [17.3.1],,USD,51.55796
2016,Foreign direct investment (FDI) inflows [17.3.1],,USD,106.01877
2017,Foreign direct investment (FDI) inflows [17.3.1],,USD,129.2096
2018,Foreign direct investment (FDI) inflows [17.3.1],,USD,160.77114
