Year,SDG Series,Unit of measure,Value
2011,Remittance costs as a proportion of the amount remitted [10.c.1],Percent,5.58
2015,Remittance costs as a proportion of the amount remitted [10.c.1],Percent,3.57
2017,Remittance costs as a proportion of the amount remitted [10.c.1],Percent,4.69
2018,Remittance costs as a proportion of the amount remitted [10.c.1],Percent,5.02
2019,Remittance costs as a proportion of the amount remitted [10.c.1],Percent,4.82
