Year,Series,Reference area,Sex,Age,Units,Value
2008,SL_TLF_NEET,,,15 to 24 years old,PT,23.1
2017,SL_TLF_NEET,,,15 to 24 years old,PT,32.1
2008,SL_TLF_NEET,,Female,15 to 24 years old,PT,24.1
2017,SL_TLF_NEET,,Female,15 to 24 years old,PT,42.0
2008,SL_TLF_NEET,,Male,15 to 24 years old,PT,21.9
2017,SL_TLF_NEET,,Male,15 to 24 years old,PT,20.0
