Year,Series,Reference area,Units,Value
2000,SD_XPD_ESED,,PT,19.15604
2001,SD_XPD_ESED,,PT,21.6562
2002,SD_XPD_ESED,,PT,20.44405
2003,SD_XPD_ESED,,PT,21.31265
2004,SD_XPD_ESED,,PT,21.61336
2005,SD_XPD_ESED,,PT,22.29422
2006,SD_XPD_ESED,,PT,25.50064
2007,SD_XPD_ESED,,PT,21.14614
2008,SD_XPD_ESED,,PT,22.23003
2009,SD_XPD_ESED,,PT,19.87293
2010,SD_XPD_ESED,,PT,16.03235
2011,SD_XPD_ESED,,PT,17.98384
2012,SD_XPD_ESED,,PT,17.43708
2013,SD_XPD_ESED,,PT,17.56964
2014,SD_XPD_ESED,,PT,18.28129
2015,SD_XPD_ESED,,PT,16.98966
2016,SD_XPD_ESED,,PT,19.1285
2017,SD_XPD_ESED,,PT,17.09639
2018,SD_XPD_ESED,,PT,14.10187
