Year,SERIES,Reference area,UNIT_MEASURE,Value
2018,3.b.2 Total net official development assistance to medical research and basic health sectors _  Percent of health sector budget for research and development,,Percent,2
2019,3.b.2 Total net official development assistance to medical research and basic health sectors _  Percent of health sector budget for research and development,,Percent,2
2020,3.b.2 Total net official development assistance to medical research and basic health sectors _  Percent of health sector budget for research and development,,Percent,3
2022,3.b.2 Total net official development assistance to medical research and basic health sectors _  Percent of health sector budget for research and development,,Percent,3
