Year,Series,Reference area,Units,Value
2014,VC_DSR_MTMP,,PER_100000_POP,2.83585
2015,VC_DSR_MTMP,,PER_100000_POP,33.74004
2016,VC_DSR_MTMP,,PER_100000_POP,1.74806
2017,VC_DSR_MTMP,,PER_100000_POP,1.9323
2018,VC_DSR_MTMP,,PER_100000_POP,1.66673
2019,VC_DSR_MTMP,,PER_100000_POP,1.85258
2005,VC_DSR_PDAN,,NUMBER,2156.0
2006,VC_DSR_PDAN,,NUMBER,46363.0
2007,VC_DSR_PDAN,,NUMBER,7985.0
2008,VC_DSR_PDAN,,NUMBER,17898.0
2009,VC_DSR_PDAN,,NUMBER,49702.0
2010,VC_DSR_PDAN,,NUMBER,153066.0
2011,VC_DSR_PDAN,,NUMBER,3334.0
2012,VC_DSR_PDAN,,NUMBER,3983.0
2013,VC_DSR_PDAN,,NUMBER,1918.0
2014,VC_DSR_PDAN,,NUMBER,120514.0
2015,VC_DSR_PDAN,,NUMBER,1479914.0
2016,VC_DSR_PDAN,,NUMBER,5980.0
2017,VC_DSR_PDAN,,NUMBER,805169.0
2018,VC_DSR_PDAN,,NUMBER,9187.0
2019,VC_DSR_PDAN,,NUMBER,33551.0
2005,VC_DSR_PDLN,,NUMBER,54.0
2006,VC_DSR_PDLN,,NUMBER,247335.0
2007,VC_DSR_PDLN,,NUMBER,19634.0
2008,VC_DSR_PDLN,,NUMBER,304190.0
2009,VC_DSR_PDLN,,NUMBER,132266.0
2010,VC_DSR_PDLN,,NUMBER,37947.0
2011,VC_DSR_PDLN,,NUMBER,3167.0
2012,VC_DSR_PDLN,,NUMBER,13952.0
2013,VC_DSR_PDLN,,NUMBER,12849.0
2014,VC_DSR_PDLN,,NUMBER,194283.0
2015,VC_DSR_PDLN,,NUMBER,4936439.0
2016,VC_DSR_PDLN,,NUMBER,61092.0
2017,VC_DSR_PDLN,,NUMBER,93076.0
2018,VC_DSR_PDLN,,NUMBER,39933.0
2019,VC_DSR_PDLN,,NUMBER,123288.0
2005,VC_DSR_PDYN,,NUMBER,5796.0
2006,VC_DSR_PDYN,,NUMBER,10496.0
2007,VC_DSR_PDYN,,NUMBER,51505.0
2008,VC_DSR_PDYN,,NUMBER,87290.0
2009,VC_DSR_PDYN,,NUMBER,20485.0
2010,VC_DSR_PDYN,,NUMBER,29031.0
2011,VC_DSR_PDYN,,NUMBER,7083.0
2012,VC_DSR_PDYN,,NUMBER,20708.0
2013,VC_DSR_PDYN,,NUMBER,11911.0
2014,VC_DSR_PDYN,,NUMBER,48983.0
2015,VC_DSR_PDYN,,NUMBER,3791246.0
2016,VC_DSR_PDYN,,NUMBER,16744.0
2017,VC_DSR_PDYN,,NUMBER,212613.0
2018,VC_DSR_PDYN,,NUMBER,12233.0
2019,VC_DSR_PDYN,,NUMBER,24110.0
