Year,Value
2000,61.62579
2001,303.42838
2002,45.91209
2003,89.1134
2004,50.17609
2005,52.19268
2006,50.08376
2007,27.17706
2008,47.61149
2009,59.26804
2010,76.87292
2011,83.85921
2012,109.82621
2013,83.28302
2014,88.52555
2015,109.14844
2016,129.53925
2017,175.06165
2018,136.16995
