Year,Series,Reference area,Units,Value
2000,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,15.1
2001,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,0.0
2002,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,4.9
2003,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,30.55
2004,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,5.5
2005,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,17.5
2006,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,0.0
2007,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,0.0
2008,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,4.6
2009,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,0.0
2010,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,43.6
2011,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,107.3
2012,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,966.2
2013,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,0.0
2014,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,158.9
2015,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,350.0
2016,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,26.07
2017,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,151.1
2018,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,21.4
2019,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",,USD,647.2
2000,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,22.41828
2001,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,0.0
2002,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,6.9644
2003,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,42.45708
2004,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,7.44436
2005,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,22.90935
2006,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,0.0
2007,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,0.0
2008,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,5.46219
2009,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,0.0
2010,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,50.85332
2011,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,121.95315
2012,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,1075.88303
2013,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,0.0
2014,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,171.60015
2015,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,377.52603
2016,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,27.76996
2017,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,157.59587
2018,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,21.78781
2019,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",,Constant USD,647.20001
