Year,Series,Reference area,Units,Value
2000,SH_TBS_INCD,,PER_100000_POP,163
2001,SH_TBS_INCD,,PER_100000_POP,163
2002,SH_TBS_INCD,,PER_100000_POP,163
2003,SH_TBS_INCD,,PER_100000_POP,163
2004,SH_TBS_INCD,,PER_100000_POP,163
2005,SH_TBS_INCD,,PER_100000_POP,163
2006,SH_TBS_INCD,,PER_100000_POP,164
2007,SH_TBS_INCD,,PER_100000_POP,164
2008,SH_TBS_INCD,,PER_100000_POP,164
2009,SH_TBS_INCD,,PER_100000_POP,164
2010,SH_TBS_INCD,,PER_100000_POP,163
2011,SH_TBS_INCD,,PER_100000_POP,162
2012,SH_TBS_INCD,,PER_100000_POP,161
2013,SH_TBS_INCD,,PER_100000_POP,159
2014,SH_TBS_INCD,,PER_100000_POP,158
2015,SH_TBS_INCD,,PER_100000_POP,156
2016,SH_TBS_INCD,,PER_100000_POP,154
2017,SH_TBS_INCD,,PER_100000_POP,152
2018,SH_TBS_INCD,,PER_100000_POP,151
