Year,Series,Age,Units,Value
2011,SD_MDP_ANDI,,PT,47.5
2014,SD_MDP_ANDI,,PT,44.23
2011,SD_MDP_MUHC,,PT,39.1
2014,SD_MDP_MUHC,,PT,28.62
2014,SD_MDP_MUHC,under 10 years old,PT,41.61
