Year,Series,Reference area,Sex,Units,Value
2011,Average income of large-scale food producers [2.3.2],,,Constant USD,3706.12
2011,Average income of large-scale food producers [2.3.2],,Female,Constant USD,2507.5
2011,Average income of large-scale food producers [2.3.2],,Male,Constant USD,3940.35
2011,Average income of small-scale food producers [2.3.2],,,Constant USD,1279.66763
2011,Average income of small-scale food producers [2.3.2],,Female,Constant USD,1010.56552
2011,Average income of small-scale food producers [2.3.2],,Male,Constant USD,1421.1951
