Year,Series,Units,Value
2012,ER_CBD_ABSCLRHS,NUMBER,0
2012,ER_CBD_NAGOYA,NUMBER,1
2016,ER_CBD_ORSPGRFA,NUMBER,0
2017,ER_CBD_ORSPGRFA,NUMBER,0
2018,ER_CBD_ORSPGRFA,NUMBER,0
2019,ER_CBD_ORSPGRFA,NUMBER,1
2012,ER_CBD_PTYPGRFA,NUMBER,1
2013,ER_CBD_PTYPGRFA,NUMBER,1
2014,ER_CBD_PTYPGRFA,NUMBER,1
2015,ER_CBD_PTYPGRFA,NUMBER,1
2016,ER_CBD_PTYPGRFA,NUMBER,1
2017,ER_CBD_PTYPGRFA,NUMBER,1
2018,ER_CBD_PTYPGRFA,NUMBER,1
2019,ER_CBD_PTYPGRFA,NUMBER,1
2012,ER_CBD_SMTA,NUMBER,256
2013,ER_CBD_SMTA,NUMBER,346
2014,ER_CBD_SMTA,NUMBER,387
2015,ER_CBD_SMTA,NUMBER,488
2016,ER_CBD_SMTA,NUMBER,520
2017,ER_CBD_SMTA,NUMBER,552
2018,ER_CBD_SMTA,NUMBER,571
2019,ER_CBD_SMTA,NUMBER,573
