Year,Series,Reference area,Economic activity,Units,Value
2000,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,3.1
2001,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,3.35
2002,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,2.671
2003,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,2.905
2004,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,2.697
2005,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,3.074
2006,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,2.501
2007,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,2.578
2008,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,2.882
2009,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,3.425
2010,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,4.122
2011,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,4.405
2012,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,4.972
2013,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,4.945
2014,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,5.949
2015,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,5.694
2016,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,8.504
2017,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,10.193
2018,Carbon dioxide emissions from fuel combustion [9.4.1],,,Metric Tons,11.187
2000,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,1.116
2001,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,1.27
2002,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,0.638
2003,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,0.774
2004,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,0.662
2005,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,1.024
2006,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,0.62
2007,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,0.811
