Indicator,Disaggregation combinations using this value
#1-5-2,1
#1-5-4,1
#11-5-2,1
#11-b-2,1
#13-1-3,1
#15-1-1,1
#15-2-1,3
#15-4-2,7
#17-1-1,1
#2-1-1,1
#2-1-2,6
#2-2-1,1
#2-2-2,2
#2-a-1,2
#3-4-1,3
#5-5-1,2
#6-6-1,2
#9-2-1,1
