Value,Disaggregation combinations using this value,Number of indicators
AGG_AGR,3,2
AGG_ARMS,3,2
AGG_CLTH,3,2
AGG_IND,3,2
AGG_OIL,2,1
AGG_TXT,3,2
CPC2_1_111,1,1
CPC2_1_113,1,1
MF1,3,1
MF11,3,1
MF121,3,1
MF122,3,1
MF13,3,1
MF14,3,1
MF2,3,1
MF21,3,1
MF22,3,1
MF3,3,1
MF4,3,1
MF41,3,1
MF421,3,1
MF_AGG3A,3,1
MF_AGG3B,3,1
None,481,138
