Indicator,Disaggregation combinations using this value
#1-5-2,6
#11-5-2,13
#15-1-1,1
#15-2-1,4
#17-1-1,1
#2-1-1,1
#2-1-2,6
#2-2-1,1
#2-2-2,2
#9-4-1,2
