Indicator,Disaggregation combinations using this value
#1-5-1,8
#1-5-4,2
#11-5-1,8
#11-5-2,8
#11-b-2,2
#13-1-1,8
#13-1-3,2
#14-b-1,1
#15-6-1,5
#16-10-2,1
#16-2-2,7
#16-a-1,2
#17-18-2,1
#17-18-3,4
#17-19-2,3
#17-6-2,2
#2-1-1,1
#2-1-2,6
#2-2-1,1
#2-2-2,2
#2-5-1,1
#3-2-1,6
#3-2-2,1
#3-3-5,1
#3-4-1,12
#3-4-2,3
#5-5-1,2
#6-b-1,4
#8-10-1,2
