Indicator,Disaggregation combinations using this value
#1-3-1,16
#16-2-1,8
#16-9-1,8
#17-8-1,32
#2-2-1,16
#2-2-2,32
#3-1-2,8
#3-2-1,8
#3-2-2,8
#3-7-1,8
#3-7-2,8
#3-8-1,32
#3-a-1,16
#3-b-1,16
#4-1-1,20
#4-2-1,8
#4-2-2,8
#4-4-1,18
#4-5-1,24
#5-3-1,32
#5-b-1,16
#6-1-1,8
#6-2-1,40
#7-1-1,8
#7-1-2,8
#8-6-1,10
