Year,Series,Reference area,Units,Value
2014,Total deaths and disappearances recorded during migration [10.7.3],,Number,0
2015,Total deaths and disappearances recorded during migration [10.7.3],,Number,0
2016,Total deaths and disappearances recorded during migration [10.7.3],,Number,0
2017,Total deaths and disappearances recorded during migration [10.7.3],,Number,0
2018,Total deaths and disappearances recorded during migration [10.7.3],,Number,0
2019,Total deaths and disappearances recorded during migration [10.7.3],,Number,0
2020,Total deaths and disappearances recorded during migration [10.7.3],,Number,12
