Year,Series,REF_AREA,COMPOSITE_BREAKDOWN,Units,Value
2001,EN_MWT_COLLV,,,T,418000.0
2002,EN_MWT_COLLV,,,T,418399.9939
2012,EN_MWT_COLLV,,,T,1281.78001
2012,EN_MWT_GENV,,,T,1434.99994
2012,EN_MWT_RCYV,,,T,256.356
2012,EN_MWT_TREATR,,WT_LANDFIL,PT,80.0
