Year,Series,Reference area,COMPOSITE_BREAKDOWN,Units,Value
2020,Number of companies publishing sustainability reports [12.6.1],,Level of requirement: Advanced,Number,0
2020,Number of companies publishing sustainability reports [12.6.1],,Level of requirement: Minimum,Number,0
