Year,Value,UNIT_MEASURE,SERIES
2015,19.86,PER_1000000_POP,SH_STA_TRAF
2018,9.93,PER_1000000_POP,SH_STA_TRAF
2019,8.94,PER_1000000_POP,SH_STA_TRAF
2020,7.45,PER_1000000_POP,SH_STA_TRAF
2022,4.96,PER_1000000_POP,SH_STA_TRAF
