Year,Value,Units,Series
2005,205.647167,KM2,EN_WBE_PMNR
2006,204.661693,KM2,EN_WBE_PMNR
2007,203.564077,KM2,EN_WBE_PMNR
2008,203.741627,KM2,EN_WBE_PMNR
2009,202.340751,KM2,EN_WBE_PMNR
2010,201.752496,KM2,EN_WBE_PMNR
2011,199.81138,KM2,EN_WBE_PMNR
2012,199.649988,KM2,EN_WBE_PMNR
2013,197.033181,KM2,EN_WBE_PMNR
2014,198.542916,KM2,EN_WBE_PMNR
2015,201.006427,KM2,EN_WBE_PMNR
2016,201.52101,KM2,EN_WBE_PMNR
2017,198.982493,KM2,EN_WBE_PMNR
2018,200.927247,KM2,EN_WBE_PMNR
2005,213.025076,KM2,EN_WBE_PMPN
2006,211.137495,KM2,EN_WBE_PMPN
2007,209.439048,KM2,EN_WBE_PMPN
2008,207.96813,KM2,EN_WBE_PMPN
2009,205.343804,KM2,EN_WBE_PMPN
2010,204.540808,KM2,EN_WBE_PMPN
2011,202.411365,KM2,EN_WBE_PMPN
2012,202.060501,KM2,EN_WBE_PMPN
2013,199.447651,KM2,EN_WBE_PMPN
2014,200.507416,KM2,EN_WBE_PMPN
2015,202.998515,KM2,EN_WBE_PMPN
2016,203.163544,KM2,EN_WBE_PMPN
2017,200.214498,KM2,EN_WBE_PMPN
2018,201.538455,KM2,EN_WBE_PMPN
2005,0.148604866410882,PT,EN_WBE_PMPP
2006,0.147288102546215,PT,EN_WBE_PMPP
2007,0.146103277293338,PT,EN_WBE_PMPP
2008,0.145077174747122,PT,EN_WBE_PMPP
2009,0.14324646250436,PT,EN_WBE_PMPP
2010,0.14268629787234,PT,EN_WBE_PMPP
2011,0.141200812696198,PT,EN_WBE_PMPP
2012,0.140956052319497,PT,EN_WBE_PMPP
2013,0.139133345657481,PT,EN_WBE_PMPP
2014,0.139872630624346,PT,EN_WBE_PMPP
2015,0.141610404604115,PT,EN_WBE_PMPP
2016,0.141725527729333,PT,EN_WBE_PMPP
2017,0.139668292989187,PT,EN_WBE_PMPP
2018,0.140591876525985,PT,EN_WBE_PMPP
2005,0.143458086501569,PT,EN_WBE_PMPR
2006,0.142770626438786,PT,EN_WBE_PMPR
2007,0.142004936867806,PT,EN_WBE_PMPR
2008,0.142128794558772,PT,EN_WBE_PMPR
2009,0.141151552842692,PT,EN_WBE_PMPR
2010,0.140741190094175,PT,EN_WBE_PMPR
2011,0.139387080572026,PT,EN_WBE_PMPR
2012,0.139274494593651,PT,EN_WBE_PMPR
2013,0.137449027554935,PT,EN_WBE_PMPR
2014,0.138502208580397,PT,EN_WBE_PMPR
2015,0.140220737356121,PT,EN_WBE_PMPR
2016,0.140579707010812,PT,EN_WBE_PMPR
2017,0.138808854551796,PT,EN_WBE_PMPR
2018,0.140165501918381,PT,EN_WBE_PMPR
