Year,Value,Units,Series
2005,164.60351,CON_USD,DC_TOF_TRDCML
2006,207.34817,CON_USD,DC_TOF_TRDCML
2007,206.84367,CON_USD,DC_TOF_TRDCML
2008,197.13493,CON_USD,DC_TOF_TRDCML
2009,281.05415,CON_USD,DC_TOF_TRDCML
2010,455.80748,CON_USD,DC_TOF_TRDCML
2011,415.95513,CON_USD,DC_TOF_TRDCML
2012,399.19279,CON_USD,DC_TOF_TRDCML
2013,944.15755,CON_USD,DC_TOF_TRDCML
2014,616.45874,CON_USD,DC_TOF_TRDCML
2015,343.31709,CON_USD,DC_TOF_TRDCML
2016,480.87607,CON_USD,DC_TOF_TRDCML
2017,798.03844,CON_USD,DC_TOF_TRDCML
2018,774.33469,CON_USD,DC_TOF_TRDCML
2006,109.94607,CON_USD,DC_TOF_TRDDBML
2007,120.40686,CON_USD,DC_TOF_TRDDBML
2008,149.37707,CON_USD,DC_TOF_TRDDBML
2009,154.77794,CON_USD,DC_TOF_TRDDBML
2010,239.37515,CON_USD,DC_TOF_TRDDBML
2011,252.49819,CON_USD,DC_TOF_TRDDBML
2012,254.76187,CON_USD,DC_TOF_TRDDBML
2013,304.38647,CON_USD,DC_TOF_TRDDBML
2014,307.5205,CON_USD,DC_TOF_TRDDBML
2015,416.14748,CON_USD,DC_TOF_TRDDBML
2016,294.99382,CON_USD,DC_TOF_TRDDBML
2017,510.64633,CON_USD,DC_TOF_TRDDBML
2018,440.53853,CON_USD,DC_TOF_TRDDBML
