Year,Value,UNIT_MEASURE,SERIES
2015,88.0,PT,SH_ACS_VACN
2018,90.0,PT,SH_ACS_VACN
2019,95.0,PT,SH_ACS_VACN
2020,95.0,PT,SH_ACS_VACN
2022,95.0,PT,SH_ACS_VACN
2014,67.1,PT,_L_NP_03_b_01_01
2019,70.2,PT,_L_NP_03_b_01_01
2019,40.0,PT,_L_NP_03_b_01_02
