Year,Value,Units,Series
2000,6,PT,EG_EGY_CLEAN
2001,7,PT,EG_EGY_CLEAN
2002,8,PT,EG_EGY_CLEAN
2003,10,PT,EG_EGY_CLEAN
2004,11,PT,EG_EGY_CLEAN
2005,13,PT,EG_EGY_CLEAN
2006,15,PT,EG_EGY_CLEAN
2007,17,PT,EG_EGY_CLEAN
2008,18,PT,EG_EGY_CLEAN
2009,20,PT,EG_EGY_CLEAN
2010,21,PT,EG_EGY_CLEAN
2011,23,PT,EG_EGY_CLEAN
2012,24,PT,EG_EGY_CLEAN
2013,26,PT,EG_EGY_CLEAN
2014,27,PT,EG_EGY_CLEAN
2015,28,PT,EG_EGY_CLEAN
2016,29,PT,EG_EGY_CLEAN
2017,29,PT,EG_EGY_CLEAN
2018,30,PT,EG_EGY_CLEAN
2019,31,PT,EG_EGY_CLEAN
