Year,Value,Units,Series
1990,14.53116,PT,DT_TDS_DECT
1991,11.17499,PT,DT_TDS_DECT
1992,9.18233,PT,DT_TDS_DECT
1993,8.61512,PT,DT_TDS_DECT
1994,7.81449,PT,DT_TDS_DECT
1995,7.68718,PT,DT_TDS_DECT
1996,6.52582,PT,DT_TDS_DECT
1997,6.93006,PT,DT_TDS_DECT
1998,7.93733,PT,DT_TDS_DECT
1999,7.99309,PT,DT_TDS_DECT
2000,7.39416,PT,DT_TDS_DECT
2001,7.70669,PT,DT_TDS_DECT
2002,10.20136,PT,DT_TDS_DECT
2003,10.04593,PT,DT_TDS_DECT
2004,8.97048,PT,DT_TDS_DECT
2005,8.18599,PT,DT_TDS_DECT
2006,9.68741,PT,DT_TDS_DECT
2007,8.61938,PT,DT_TDS_DECT
2008,8.27386,PT,DT_TDS_DECT
2009,9.97659,PT,DT_TDS_DECT
2010,10.41391,PT,DT_TDS_DECT
2011,8.9984,PT,DT_TDS_DECT
2012,10.03123,PT,DT_TDS_DECT
2013,8.58646,PT,DT_TDS_DECT
2014,7.84996,PT,DT_TDS_DECT
2015,7.89666,PT,DT_TDS_DECT
2016,8.67174,PT,DT_TDS_DECT
2017,7.38106,PT,DT_TDS_DECT
