Year,Value,Units,Series
2012,0,NUMBER,ER_CBD_ABSCLRHS
2012,1,NUMBER,ER_CBD_NAGOYA
2016,0,NUMBER,ER_CBD_ORSPGRFA
2017,0,NUMBER,ER_CBD_ORSPGRFA
2018,0,NUMBER,ER_CBD_ORSPGRFA
2019,1,NUMBER,ER_CBD_ORSPGRFA
2020,1,NUMBER,ER_CBD_ORSPGRFA
2021,1,NUMBER,ER_CBD_ORSPGRFA
2012,1,NUMBER,ER_CBD_PTYPGRFA
2013,1,NUMBER,ER_CBD_PTYPGRFA
2014,1,NUMBER,ER_CBD_PTYPGRFA
2015,1,NUMBER,ER_CBD_PTYPGRFA
2016,1,NUMBER,ER_CBD_PTYPGRFA
2017,1,NUMBER,ER_CBD_PTYPGRFA
2018,1,NUMBER,ER_CBD_PTYPGRFA
2019,1,NUMBER,ER_CBD_PTYPGRFA
2020,1,NUMBER,ER_CBD_PTYPGRFA
2021,1,NUMBER,ER_CBD_PTYPGRFA
2012,248,NUMBER,ER_CBD_SMTA
2013,314,NUMBER,ER_CBD_SMTA
2014,361,NUMBER,ER_CBD_SMTA
2015,409,NUMBER,ER_CBD_SMTA
2016,441,NUMBER,ER_CBD_SMTA
2017,473,NUMBER,ER_CBD_SMTA
2018,492,NUMBER,ER_CBD_SMTA
2019,504,NUMBER,ER_CBD_SMTA
2020,504,NUMBER,ER_CBD_SMTA
2021,504,NUMBER,ER_CBD_SMTA
