Year,Value,Units,Series
2000,4.2,PT,SL_EMP_PCAP
2001,2.8,PT,SL_EMP_PCAP
2002,-1.7,PT,SL_EMP_PCAP
2003,2.1,PT,SL_EMP_PCAP
2004,2.9,PT,SL_EMP_PCAP
2005,1.8,PT,SL_EMP_PCAP
2006,1.3,PT,SL_EMP_PCAP
2007,1.5,PT,SL_EMP_PCAP
2008,4.4,PT,SL_EMP_PCAP
2009,3.3,PT,SL_EMP_PCAP
2010,3.8,PT,SL_EMP_PCAP
2011,3.1,PT,SL_EMP_PCAP
2012,4.6,PT,SL_EMP_PCAP
2013,4.0,PT,SL_EMP_PCAP
2014,5.5,PT,SL_EMP_PCAP
2015,2.5,PT,SL_EMP_PCAP
2016,-2.0,PT,SL_EMP_PCAP
2017,5.0,PT,SL_EMP_PCAP
2018,3.3,PT,SL_EMP_PCAP
2019,3.6,PT,SL_EMP_PCAP
