Year,Value,Units,Series
2002,26.83378,CON_USD,DC_ODA_BDVL
2003,13.68649,CON_USD,DC_ODA_BDVL
2004,9.47747,CON_USD,DC_ODA_BDVL
2005,2.00487,CON_USD,DC_ODA_BDVL
2006,3.45734,CON_USD,DC_ODA_BDVL
2007,7.49093,CON_USD,DC_ODA_BDVL
2008,18.64721,CON_USD,DC_ODA_BDVL
2009,6.9075,CON_USD,DC_ODA_BDVL
2010,30.2173,CON_USD,DC_ODA_BDVL
2011,50.48495,CON_USD,DC_ODA_BDVL
2012,10.95123,CON_USD,DC_ODA_BDVL
2013,37.38919,CON_USD,DC_ODA_BDVL
2014,26.16435,CON_USD,DC_ODA_BDVL
2015,18.30768,CON_USD,DC_ODA_BDVL
2016,33.25301,CON_USD,DC_ODA_BDVL
2017,19.24385,CON_USD,DC_ODA_BDVL
2018,23.63437,CON_USD,DC_ODA_BDVL
