Year,Value,UNIT_MEASURE,SERIES
2016,0.89,NUMBER,_L_NP_03_03_05_01
2017,0.92,NUMBER,_L_NP_03_03_05_01
2018,0.99,NUMBER,_L_NP_03_03_05_01
2019,0.69,NUMBER,_L_NP_03_03_05_01
2018,239.0,NUMBER,_L_NP_03_03_05_02
2019,216.0,NUMBER,_L_NP_03_03_05_02
2020,110.0,NUMBER,_L_NP_03_03_05_02
2017,811.0,NUMBER,_L_NP_03_03_05_04
2018,3424.0,NUMBER,_L_NP_03_03_05_04
2019,10808.0,NUMBER,_L_NP_03_03_05_04
