Year,Value,Units,Series
2000,417,PER_100000_POP,SH_TBS_INCD
2001,405,PER_100000_POP,SH_TBS_INCD
2002,393,PER_100000_POP,SH_TBS_INCD
2003,382,PER_100000_POP,SH_TBS_INCD
2004,371,PER_100000_POP,SH_TBS_INCD
2005,360,PER_100000_POP,SH_TBS_INCD
2006,350,PER_100000_POP,SH_TBS_INCD
2007,339,PER_100000_POP,SH_TBS_INCD
2008,329,PER_100000_POP,SH_TBS_INCD
2009,320,PER_100000_POP,SH_TBS_INCD
2010,311,PER_100000_POP,SH_TBS_INCD
2011,302,PER_100000_POP,SH_TBS_INCD
2012,293,PER_100000_POP,SH_TBS_INCD
2013,284,PER_100000_POP,SH_TBS_INCD
2014,276,PER_100000_POP,SH_TBS_INCD
2015,268,PER_100000_POP,SH_TBS_INCD
2016,260,PER_100000_POP,SH_TBS_INCD
2017,253,PER_100000_POP,SH_TBS_INCD
2018,245,PER_100000_POP,SH_TBS_INCD
2019,238,PER_100000_POP,SH_TBS_INCD
