Year,Value,Units,Series
1990,0,PT,EG_ACS_ELEC
1991,0,PT,EG_ACS_ELEC
1992,0,PT,EG_ACS_ELEC
1993,4,PT,EG_ACS_ELEC
1994,7,PT,EG_ACS_ELEC
1995,11,PT,EG_ACS_ELEC
1996,18,PT,EG_ACS_ELEC
1997,18,PT,EG_ACS_ELEC
1998,22,PT,EG_ACS_ELEC
1999,25,PT,EG_ACS_ELEC
2000,29,PT,EG_ACS_ELEC
2001,25,PT,EG_ACS_ELEC
2002,36,PT,EG_ACS_ELEC
2003,42,PT,EG_ACS_ELEC
2004,37,PT,EG_ACS_ELEC
2005,47,PT,EG_ACS_ELEC
2006,51,PT,EG_ACS_ELEC
2007,54,PT,EG_ACS_ELEC
2008,57,PT,EG_ACS_ELEC
2009,61,PT,EG_ACS_ELEC
2010,69,PT,EG_ACS_ELEC
2011,67,PT,EG_ACS_ELEC
2012,75,PT,EG_ACS_ELEC
2013,78,PT,EG_ACS_ELEC
2014,85,PT,EG_ACS_ELEC
2015,84,PT,EG_ACS_ELEC
2016,91,PT,EG_ACS_ELEC
2017,90,PT,EG_ACS_ELEC
2018,94,PT,EG_ACS_ELEC
2019,90,PT,EG_ACS_ELEC
