Year,Value,Units,Series
2000,7.17938,PER_1000_POP,SH_STA_MALR
2001,8.20604,PER_1000_POP,SH_STA_MALR
2002,12.34522,PER_1000_POP,SH_STA_MALR
2003,10.40495,PER_1000_POP,SH_STA_MALR
2004,4.8999,PER_1000_POP,SH_STA_MALR
2005,5.01304,PER_1000_POP,SH_STA_MALR
2006,4.88751,PER_1000_POP,SH_STA_MALR
2007,5.72187,PER_1000_POP,SH_STA_MALR
2008,4.1647,PER_1000_POP,SH_STA_MALR
2009,3.28598,PER_1000_POP,SH_STA_MALR
2010,3.86666,PER_1000_POP,SH_STA_MALR
2011,3.04439,PER_1000_POP,SH_STA_MALR
2012,2.35155,PER_1000_POP,SH_STA_MALR
2013,1.30084,PER_1000_POP,SH_STA_MALR
2014,0.62559,PER_1000_POP,SH_STA_MALR
2015,0.56389,PER_1000_POP,SH_STA_MALR
2016,0.42621,PER_1000_POP,SH_STA_MALR
2017,0.38535,PER_1000_POP,SH_STA_MALR
2018,0.54539,PER_1000_POP,SH_STA_MALR
2019,0.08152,PER_1000_POP,SH_STA_MALR
