Year,SERIES,Reference area,UNIT_MEASURE,Value
1996,Prevalence of undernourishment [2.1.1],,Percent,0.5
2004,Prevalence of undernourishment [2.1.1],,Percent,0.35
2011,Prevalence of undernourishment [2.1.1],,Percent,0.33
