Year,Series,Reference area,Sex,Age,Units,Value
2019,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,,36 to 59 months old,Percent,65.2
2019,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,Female,36 to 59 months old,Percent,65.6
2019,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,Male,36 to 59 months old,Percent,64.8
