Year,SERIES,Reference area,UNIT_MEASURE,Value
2018,"Proportion of youth not in education, employment or training [8.6.1]",,Percent,35.3
2018,"Proportion of youth not in education, employment or training [8.6.1]",Province 1,Percent,37.3
2018,"Proportion of youth not in education, employment or training [8.6.1]",Madhesh,Percent,48.3
2018,"Proportion of youth not in education, employment or training [8.6.1]",Bagmati,Percent,20.9
2018,"Proportion of youth not in education, employment or training [8.6.1]",Gandaki,Percent,33.0
2018,"Proportion of youth not in education, employment or training [8.6.1]",Lumbini,Percent,36.9
2018,"Proportion of youth not in education, employment or training [8.6.1]",Karnali,Percent,40.9
2018,"Proportion of youth not in education, employment or training [8.6.1]",Sudurpashchim,Percent,37.0
