Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,_L_NP_03_0b_03_01,,PT,70
2018,_L_NP_03_0b_03_01,,PT,95
2019,_L_NP_03_0b_03_01,,PT,95
2020,_L_NP_03_0b_03_01,,PT,100
2022,_L_NP_03_0b_03_01,,PT,100
