Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_IHR_CAPPRD,,PT,77
2018,SH_IHR_CAPPRD,,PT,82
2019,SH_IHR_CAPPRD,,PT,85
2020,SH_IHR_CAPPRD,,PT,90
2022,SH_IHR_CAPPRD,,PT,95
